Name,Tags,완료,파일과 미디어,Date
make 시나리오 테스트,[],True,[],
함기옥 박사님께  분석 수정된 PPT 요청,[],True,[],
노션 데이터베이스 백업 test,[],False,[],
책 반납,[],True,[],
PPT 만들기,[],True,[],
본페이지에 make연동,[],True,[],
김종환 박사님 공유,[],True,[],
책 대출,[],True,[],"{'start': '2024-11-07', 'end': None, 'time_zone': None}"
책반납,[],True,[],
SOP 작성,[],True,[],
 모니터 나가면 전산실 연락,[],False,[],
교육자료 PPT 제작,[],True,[],"{'start': '2024-11-04', 'end': None, 'time_zone': None}"
ppt 만들기,[],True,[],
롯데카드 해지,[],False,[],
RNA seq 분석,[],False,[],
책빌리기,[],True,[],
병원 예약 변경,[],True,[],
법정교육 이수,[],True,[],"{'start': '2024-11-05', 'end': None, 'time_zone': None}"
은행,[],True,[],
